"country","decimalLatitude","decimalLongitude","Site","yearCollected","monthCollected","dayCollected","date","date_t1","date_t2","genus","species","scientific","susceptibility","BdDetected","BsalDetected","fatal","sppAbun","siteAbun","richness","alphadiv","soilMoisture_date","soilMoisture_date_t1","soilMoisture_date_t2","temp_date","temp_date_t1","temp_date_t2"
"Belgium",50.492792,5.195327,191,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,42,42,1,0.693147180559945,NA,NA,NA,NA,NA,NA
"Belgium",50.155227,5.261291,113,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,35,35,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.936207,4.839672,315,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.936207,4.839672,315,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.936207,4.839672,315,2015,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.760972,3.495953,299,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.760972,3.495953,299,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.760972,3.495953,299,2015,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.584708,5.584746,216,2014,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","1",NA,5,5,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.651058,5.657861,240,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,21,21,1,0,NA,NA,NA,NA,NA,NA
