"country","decimalLatitude","decimalLongitude","Site","sppAbun","siteAbun","richness","alphadiv","date","yearCollected","monthCollected","dayCollected","genus","species","scientific","susceptibility","diseaseDetected","NoBsal","YesBsal","tmin","tmax","prec","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"Switzerland",46.159648,9.002659,2,2,2,1,0.693147180559945,"2015-5-18",2015,5,18,"Salamandra","salamandra","Salamandra salamandra",3,"0",2,0,7.12857142857143,15.4428571428571,13.95,8.33571428571429,7.48571428571429,2.91428571428571,617.321428571429,21.9785714285714,-3.17142857142857,25.15,15.8928571428571,0.514285714285714,16.25,0.514285714285714,131.857142857143,15.65,6.45714285714286,2.81428571428571,42.9928571428571,20.0214285714286,42.9928571428571,20.0214285714286
"Switzerland",46.159648,9.002659,2,7,7,1,1.94591014905531,"2013-5-20",2013,5,20,"Salamandra","salamandra","Salamandra salamandra",3,"0",7,0,7.12857142857143,15.4428571428571,13.95,8.33571428571429,7.48571428571429,2.91428571428571,617.321428571429,21.9785714285714,-3.17142857142857,25.15,15.8928571428571,0.514285714285714,16.25,0.514285714285714,131.857142857143,15.65,6.45714285714286,2.81428571428571,42.9928571428571,20.0214285714286,42.9928571428571,20.0214285714286
"Switzerland",46.159648,9.002659,2,2,2,1,0.693147180559945,"2015-6-26",2015,6,26,"Salamandra","salamandra","Salamandra salamandra",3,"0",2,0,10.4714285714286,19.1928571428571,15.5928571428571,8.33571428571429,7.48571428571429,2.91428571428571,617.321428571429,21.9785714285714,-3.17142857142857,25.15,15.8928571428571,0.514285714285714,16.25,0.514285714285714,131.857142857143,15.65,6.45714285714286,2.81428571428571,42.9928571428571,20.0214285714286,42.9928571428571,20.0214285714286
"Switzerland",46.159648,9.002659,2,17,17,1,2.83321334405622,"2013-5-19",2013,5,19,"Salamandra","salamandra","Salamandra salamandra",3,"0",17,0,7.12857142857143,15.4428571428571,13.95,8.33571428571429,7.48571428571429,2.91428571428571,617.321428571429,21.9785714285714,-3.17142857142857,25.15,15.8928571428571,0.514285714285714,16.25,0.514285714285714,131.857142857143,15.65,6.45714285714286,2.81428571428571,42.9928571428571,20.0214285714286,42.9928571428571,20.0214285714286
"Switzerland",45.927315,9.028099,1,4,4,1,1.38629436111989,"2015-2-9",2015,2,9,"Triturus","carnifex","Triturus carnifex",1,"0",4,0,-1.12857142857143,5.65714285714286,6.42857142857143,10.0857142857143,8.11428571428571,3,647.842857142857,24.5142857142857,-2.24285714285714,26.7571428571429,13.1714285714286,1.8,18.3571428571429,1.8,128.985714285714,14.6857142857143,6.32857142857143,2.65714285714286,40.5428571428571,19.4857142857143,38.9571428571429,19.4857142857143
"Switzerland",46.159648,9.002659,2,3,3,1,1.09861228866811,"2015-5-20",2015,5,20,"Salamandra","salamandra","Salamandra salamandra",3,"0",3,0,7.12857142857143,15.4428571428571,13.95,8.33571428571429,7.48571428571429,2.91428571428571,617.321428571429,21.9785714285714,-3.17142857142857,25.15,15.8928571428571,0.514285714285714,16.25,0.514285714285714,131.857142857143,15.65,6.45714285714286,2.81428571428571,42.9928571428571,20.0214285714286,42.9928571428571,20.0214285714286
"Switzerland",46.174407,8.741555,3,4,4,1,1.38629436111989,"2015-3-12",2015,3,12,"Triturus","carnifex","Triturus carnifex",1,"0",4,0,-1.73170731707317,5.33414634146341,9.02926829268293,6.48536585365854,7.11219512195122,2.84634146341463,604.134146341463,19.6878048780488,-4.67804878048781,24.3658536585366,13.4,-1.06585365853659,14.2634146341463,-1.0780487804878,138.756097560976,15.9658536585366,7.51951219512195,2.45853658536585,44.4780487804878,23.3707317073171,44.4341463414634,23.3780487804878
"Switzerland",46.159648,9.002659,2,12,12,1,2.484906649788,"2014-3-11",2014,3,11,"Salamandra","salamandra","Salamandra salamandra",3,"0",12,0,-0.0642857142857143,7.50714285714286,8.13571428571429,8.33571428571429,7.48571428571429,2.91428571428571,617.321428571429,21.9785714285714,-3.17142857142857,25.15,15.8928571428571,0.514285714285714,16.25,0.514285714285714,131.857142857143,15.65,6.45714285714286,2.81428571428571,42.9928571428571,20.0214285714286,42.9928571428571,20.0214285714286
"Switzerland",46.159648,9.002659,2,35,35,1,3.55534806148941,"2013-6-23",2013,6,23,"Salamandra","salamandra","Salamandra salamandra",3,"0",35,0,10.4714285714286,19.1928571428571,15.5928571428571,8.33571428571429,7.48571428571429,2.91428571428571,617.321428571429,21.9785714285714,-3.17142857142857,25.15,15.8928571428571,0.514285714285714,16.25,0.514285714285714,131.857142857143,15.65,6.45714285714286,2.81428571428571,42.9928571428571,20.0214285714286,42.9928571428571,20.0214285714286
"Switzerland",46.159648,9.002659,2,15,15,1,2.70805020110221,"2013-7-28",2013,7,28,"Salamandra","salamandra","Salamandra salamandra",3,"0",15,0,12.9357142857143,21.9785714285714,12.5285714285714,8.33571428571429,7.48571428571429,2.91428571428571,617.321428571429,21.9785714285714,-3.17142857142857,25.15,15.8928571428571,0.514285714285714,16.25,0.514285714285714,131.857142857143,15.65,6.45714285714286,2.81428571428571,42.9928571428571,20.0214285714286,42.9928571428571,20.0214285714286
