principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Steven Allain,United Kingdom,"Cambridge, England",2016,,,1A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,14,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2bcafd3d510c638cb811a04cb8eec20e2,https://n2t.net/ark:/21547/DTL21A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2016,,,4A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,14,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM26c0d1d99ec4c5a0911194c5f51d21857,https://n2t.net/ark:/21547/DTL24A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,23A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,7,7,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM29fa791ed3b799a2a95c2c8e8374f5cec,https://n2t.net/ark:/21547/DTL223A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,22A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,7,7,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2a18a986297e4e3c63c0955092e5572b4,https://n2t.net/ark:/21547/DTL222A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,24A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,7,7,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2528acc42361bf9543c5b10cefa91e20f,https://n2t.net/ark:/21547/DTL224A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,9A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,5,21,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM27d8300588709689b89f9f8f78d5a4601,https://n2t.net/ark:/21547/DTL29A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,8A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,5,21,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM255ce45e24e2ddf11657e2d8d88c66793,https://n2t.net/ark:/21547/DTL28A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2016,,,5A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,7,5,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM29b151cb62438087f0bf0998944bab846,https://n2t.net/ark:/21547/DTL25A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,15A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,28,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2dd8088b3d3fddfd9370580a1e2eee134,https://n2t.net/ark:/21547/DTL215A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,16A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,28,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2621954c87901430e2ac468f8a182eeb7,https://n2t.net/ark:/21547/DTL216A,cambridge,248
