principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Alessandro Catenazzi,Italy,Italy,2015,,,4154,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,18,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw24c2f28a36572496aea16386080484fe9,https://n2t.net/ark:/21547/DSv24154,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2014,,,1172.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,14,,,,,,,,,,,,30,,550,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw244c32b2b4937624a7b72d5f7966932b7,https://n2t.net/ark:/21547/DSv21172.14,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2014,,,1171.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,14,,,,,,,,,,,,30,,565,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2b4f9d767d19991ef00debdeec9c24c0c,https://n2t.net/ark:/21547/DSv21171.14,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2013,,,V190.13,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,15,,,,,,,,,,,,30,,560,,,,,,,Ethan Baruch & Alessandro Catenazzi,,,,,,,,,adult,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2c84e34d999655eddece44d828702e6e0,https://n2t.net/ark:/21547/DSv2V190.13,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2013,,,V188.13,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,15,,,,,,,,,,,,30,,560,,,,,,,Ethan Baruch & Alessandro Catenazzi,,,,,,,,,adult,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw221fd6b4002dcaf3981b2f541c92425da,https://n2t.net/ark:/21547/DSv2V188.13,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2013,,,V187.13,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,15,,,,,,,,,,,,30,,560,,,,,,,Ethan Baruch & Alessandro Catenazzi,,,,,,,,,adult,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw23c3d6acea70f1fc531485c6d0676048a,https://n2t.net/ark:/21547/DSv2V187.13,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2014,,,1166.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,14,,,,,,,,,,,,30,,550,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2f41e6f5eae648a398f40603637e89a7f,https://n2t.net/ark:/21547/DSv21166.14,bsal-tri,243
Alessandro Catenazzi,Italy,Italy,2013,,,22.13,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,20,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2ae99152d9e2b1521837e0f352eaa2174,https://n2t.net/ark:/21547/DSv222.13,bsal-tri,243
Alessandro Catenazzi,Italy,Italy,2013,,,18.13,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,20,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw23d98a2a4760bf72cbea2e4eabf90581d,https://n2t.net/ark:/21547/DSv218.13,bsal-tri,243
Alessandro Catenazzi,Italy,Italy,2013,,,23.13,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,20,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2c306e8a7d6ca0fe39749acd80dfab8e2,https://n2t.net/ark:/21547/DSv223.13,bsal-tri,243
Alessandro Catenazzi,Italy,Italy,2013,,,20.13,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,20,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2ab8b7d734935557c9b7dd04db89e0bd7,https://n2t.net/ark:/21547/DSv220.13,bsal-tri,243
Alessandro Catenazzi,Italy,Italy,2013,,,19.13,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,20,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw24fbc44a0227e9e642770b5c5577a3518,https://n2t.net/ark:/21547/DSv219.13,bsal-tri,243
