Lat,Lon,timepoint,year,month,day,SOILMOIST_kgm-21,SURFTEMP_K1
46.159648,9.002659,t22,"2013","12","6",6.24007940292358,
46.159648,9.002659,t18,"2013","12","6",6.24007940292358,
46.159648,9.002659,t27,"2013","12","6",6.24007940292358,
46.159648,9.002659,t13,"2013","12","7",6.18026494979858,
46.159648,9.002659,t12,"2013","12","7",6.18026494979858,
46.159648,9.002659,t16,"2013","12","7",6.18026494979858,
46.159648,9.002659,t21,"2013","12","7",6.18026494979858,
46.159648,9.002659,t17,"2013","12","7",6.18026494979858,
46.159648,9.002659,t26,"2013","12","7",6.18026494979858,
46.159648,9.002659,t12,"2013","12","8",6.15826559066772,
46.159648,9.002659,t11,"2013","12","8",6.15826559066772,
46.159648,9.002659,t15,"2013","12","8",6.15826559066772,
46.159648,9.002659,t20,"2013","12","8",6.15826559066772,
46.159648,9.002659,t16,"2013","12","8",6.15826559066772,
46.159648,9.002659,t25,"2013","12","8",6.15826559066772,
46.159648,9.002659,t10,"2013","12","9",6.12285661697388,
46.159648,9.002659,t14,"2013","12","9",6.12285661697388,
46.159648,9.002659,t11,"2013","12","9",6.12285661697388,
46.159648,9.002659,t19,"2013","12","9",6.12285661697388,
46.159648,9.002659,t15,"2013","12","9",6.12285661697388,
46.159648,9.002659,t24,"2013","12","9",6.12285661697388,
46.159648,9.002659,t10,"2013","12","10",6.09623098373413,
46.159648,9.002659,t14,"2013","12","10",6.09623098373413,
46.159648,9.002659,t9,"2013","12","10",6.09623098373413,
46.159648,9.002659,t13,"2013","12","10",6.09623098373413,
46.159648,9.002659,t18,"2013","12","10",6.09623098373413,
46.159648,9.002659,t23,"2013","12","10",6.09623098373413,
46.159648,9.002659,t9,"2013","12","11",6.07775259017944,
46.159648,9.002659,t8,"2013","12","11",6.07775259017944,
46.159648,9.002659,t12,"2013","12","11",6.07775259017944,
46.159648,9.002659,t17,"2013","12","11",6.07775259017944,
46.159648,9.002659,t13,"2013","12","11",6.07775259017944,
46.159648,9.002659,t22,"2013","12","11",6.07775259017944,
46.159648,9.002659,t7,"2013","12","12",6.05104923248291,
46.159648,9.002659,t8,"2013","12","12",6.05104923248291,
46.159648,9.002659,t11,"2013","12","12",6.05104923248291,
46.159648,9.002659,t16,"2013","12","12",6.05104923248291,
46.159648,9.002659,t12,"2013","12","12",6.05104923248291,
46.159648,9.002659,t21,"2013","12","12",6.05104923248291,
46.159648,9.002659,t7,"2013","12","13",6.02495050430298,
46.159648,9.002659,t10,"2013","12","13",6.02495050430298,
46.159648,9.002659,t15,"2013","12","13",6.02495050430298,
46.159648,9.002659,t11,"2013","12","13",6.02495050430298,
46.159648,9.002659,t20,"2013","12","13",6.02495050430298,
46.159648,9.002659,t14,"2013","12","14",5.99759769439697,
46.159648,9.002659,t10,"2013","12","14",5.99759769439697,
46.159648,9.002659,t9,"2013","12","14",5.99759769439697,
46.159648,9.002659,t19,"2013","12","14",5.99759769439697,
46.159648,9.002659,t4,"2013","12","15",5.96808004379272,
46.159648,9.002659,t8,"2013","12","15",5.96808004379272,
46.159648,9.002659,t13,"2013","12","15",5.96808004379272,
46.159648,9.002659,t9,"2013","12","15",5.96808004379272,
46.159648,9.002659,t18,"2013","12","15",5.96808004379272,
46.159648,9.002659,t4,"2013","12","16",5.94365549087524,
46.159648,9.002659,t7,"2013","12","16",5.94365549087524,
46.159648,9.002659,t12,"2013","12","16",5.94365549087524,
46.159648,9.002659,t8,"2013","12","16",5.94365549087524,
46.159648,9.002659,t17,"2013","12","16",5.94365549087524,
46.159648,9.002659,t7,"2013","12","17",5.9210844039917,
46.159648,9.002659,t11,"2013","12","17",5.9210844039917,
46.159648,9.002659,t16,"2013","12","17",5.9210844039917,
46.159648,9.002659,t10,"2013","12","18",5.90376091003418,
46.159648,9.002659,t15,"2013","12","18",5.90376091003418,
46.159648,9.002659,t0,"2013","12","19",6.05050611495972,
46.159648,9.002659,t4,"2013","12","19",6.05050611495972,
46.159648,9.002659,t14,"2013","12","19",6.05050611495972,
46.159648,9.002659,t9,"2013","12","19",6.05050611495972,
46.159648,9.002659,t0,"2013","12","20",6.0842924118042,
46.159648,9.002659,t4,"2013","12","20",6.0842924118042,
46.159648,9.002659,t8,"2013","12","20",6.0842924118042,
46.159648,9.002659,t13,"2013","12","20",6.0842924118042,
46.159648,9.002659,t7,"2013","12","21",6.32468175888062,
46.159648,9.002659,t12,"2013","12","21",6.32468175888062,
46.159648,9.002659,t11,"2013","12","22",6.49815559387207,
46.159648,9.002659,t0,"2013","12","23",6.27289724349976,
46.159648,9.002659,t10,"2013","12","23",6.27289724349976,
46.159648,9.002659,t4,"2013","12","24",6.77348709106445,
46.159648,9.002659,t0,"2013","12","24",6.77348709106445,
46.159648,9.002659,t9,"2013","12","24",6.77348709106445,
46.159648,9.002659,t8,"2013","12","25",7.69818878173828,
46.159648,9.002659,t7,"2013","12","26",7.59547185897827,
46.159648,9.002659,t0,"2013","12","28",7.02712535858154,
46.159648,9.002659,t4,"2013","12","29",6.99948453903198,
46.159648,9.002659,t0,"2014",true,"2",6.76629734039307,
46.159648,9.002659,t30,"2014","2","9",6.83142280578613,
46.159648,9.002659,t28,"2014","2","11",6.81778955459595,
46.159648,9.002659,t30,"2014","2","12",6.7444634437561,
46.159648,9.002659,t27,"2014","2","12",6.7444634437561,
46.159648,9.002659,t26,"2014","2","13",6.70330238342285,
46.159648,9.002659,t25,"2014","2","14",6.75350189208984,
46.159648,9.002659,t28,"2014","2","14",6.75350189208984,
46.159648,9.002659,t24,"2014","2","15",6.8259596824646,
46.159648,9.002659,t27,"2014","2","15",6.8259596824646,
46.159648,9.002659,t23,"2014","2","16",7.14638614654541,
46.159648,9.002659,t26,"2014","2","16",7.14638614654541,
46.159648,9.002659,t22,"2014","2","17",7.13013982772827,
46.159648,9.002659,t25,"2014","2","17",7.13013982772827,
46.159648,9.002659,t21,"2014","2","18",7.12876558303833,
46.159648,9.002659,t24,"2014","2","18",7.12876558303833,
46.159648,9.002659,t20,"2014","2","19",7.49548053741455,
46.159648,9.002659,t23,"2014","2","19",7.49548053741455,
46.159648,9.002659,t19,"2014","2","20",7.31346273422241,
46.159648,9.002659,t22,"2014","2","20",7.31346273422241,
46.159648,9.002659,t18,"2014","2","21",7.37860012054443,
46.159648,9.002659,t21,"2014","2","21",7.37860012054443,
46.159648,9.002659,t17,"2014","2","22",7.28903484344482,
46.159648,9.002659,t20,"2014","2","22",7.28903484344482,
46.159648,9.002659,t16,"2014","2","23",7.30524206161499,
46.159648,9.002659,t19,"2014","2","23",7.30524206161499,
46.159648,9.002659,t15,"2014","2","24",7.28786468505859,
46.159648,9.002659,t18,"2014","2","24",7.28786468505859,
46.159648,9.002659,t14,"2014","2","25",7.26594352722168,
46.159648,9.002659,t17,"2014","2","25",7.26594352722168,
46.159648,9.002659,t13,"2014","2","26",7.28758811950684,
46.159648,9.002659,t16,"2014","2","26",7.28758811950684,
46.159648,9.002659,t12,"2014","2","27",7.28373146057129,
46.159648,9.002659,t15,"2014","2","27",7.28373146057129,
46.159648,9.002659,t14,"2014","2","28",7.17774152755737,
46.159648,9.002659,t11,"2014","2","28",7.17774152755737,
46.159648,9.002659,t10,"2014","3",true,7.1151909828186,
46.159648,9.002659,t13,"2014","3",true,7.1151909828186,
46.159648,9.002659,t9,"2014","3","2",7.14420795440674,
46.159648,9.002659,t12,"2014","3","2",7.14420795440674,
46.159648,9.002659,t8,"2014","3","3",7.20595788955688,
46.159648,9.002659,t11,"2014","3","3",7.20595788955688,
46.159648,9.002659,t7,"2014","3","4",7.22480010986328,
46.159648,9.002659,t10,"2014","3","4",7.22480010986328,
46.159648,9.002659,t9,"2014","3","5",7.26361465454102,
46.159648,9.002659,t8,"2014","3","6",7.28998184204102,
46.159648,9.002659,t4,"2014","3","7",7.3247389793396,
46.159648,9.002659,t7,"2014","3","7",7.3247389793396,
46.159648,9.002659,t4,"2014","3","10",7.21041822433472,
46.159648,9.002659,t0,"2014","3","11",7.12091016769409,
46.159648,9.002659,t0,"2014","3","14",6.87509059906006,
49.763169,6.611662,t30,"2014","7","2",5.52841186523438,
49.763169,6.611662,t28,"2014","7","4",5.43280935287476,
49.763169,6.611662,t27,"2014","7","5",5.65349531173706,
49.763169,6.611662,t26,"2014","7","6",5.72388744354248,
49.763169,6.611662,t25,"2014","7","7",5.58481645584106,
49.763169,6.611662,t24,"2014","7","8",6.14839744567871,
49.763169,6.611662,t23,"2014","7","9",6.28281116485596,
49.763169,6.611662,t22,"2014","7","10",5.91709184646606,
49.763169,6.611662,t21,"2014","7","11",5.85534572601318,
