principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Wouter Beukema,Belgium,,2017,50.2158,4.956019,2017_BEL_10,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.2158,4.956019,2017_BEL_11,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.59676,4.53146,2017_BEL_12,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.413149,5.020961,2017_BEL_13,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.565628,5.330764,2017_BEL_14,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.778471,3.761597,2017_BEL_15,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2016,50.778471,3.761597,2016_BEL_01,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2015,50.778471,3.761597,2015_BEL_01,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spitzen-van der Sluijs et al. 2016,,
Wouter Beukema,Belgium,,2017,50.703969,4.276578,2017_BEL_16,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2016,50.703969,4.276578,2016_BEL_02,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2015,50.703969,4.276578,2015_BEL_02,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spitzen-van der Sluijs et al. 2016,,
Wouter Beukema,Belgium,,2017,50.202162,4.849232,2017_BEL_17,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.946999,3.73047,2017_BEL_18,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2016,50.946999,3.73047,2016_BEL_03,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2015,50.946999,3.73047,2015_BEL_03,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spitzen-van der Sluijs et al. 2016,,
Wouter Beukema,Belgium,,2017,50.335364,4.962908,2017_BEL_19,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.492792,5.195327,2017_BEL_20,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
