"country","Lat","Lon","Site","prev_above_0","date","genus","scientific","susceptibility","nativeStatus","nPos_FS","nNeg_FS","nDead_FS","nAlive_FS","nFatalUnk_FS","nPos_all","nNeg_all","nDead_all","nAlive_all","nFatalUnk_all","nPos_all_noFS","nNeg_all_noFS","nDead_all_noFS","nAlive_all_noFS","nFatalUnk_all_noFS","richness","sppAbun","siteAbun","temp_m2","temp_m1","temp_m","temp_wk3","temp_wk2","temp_wk1","temp_d4","temp_d","sMoist_m2","sMoist_m1","sMoist_m","sMoist_wk3","sMoist_wk2","sMoist_wk1","sMoist_d4","sMoist_d","precip_m2","precip_m1","precip_m","tmin_wc","tavg_wc","tmax_wc","prec_wc","bio1_wc","bio2_wc","bio3_wc","bio4_wc","bio5_wc","bio6_wc","bio7_wc","bio8_wc","bio9_wc","bio10_wc","bio11_wc","bio12_wc","bio13_wc","bio14_wc","bio15_wc","bio16_wc","bio17_wc","bio18_wc","bio19_wc","diagnosticLab","principalInvestigator","Sample_bcid","collectorList"
"Germany",51.337388,7.142683,335,"1",2018-03-24,"Salamandra","Salamandra salamandra",3,"native",1,1,0,2,0,1,1,0,2,0,0,0,0,0,0,1,2,2,4.22911987304701,-0.495855712891,3.92690429687502,-4.5021859305244,3.83618425641745,7.57310965401788,0.445214843750023,6.389886474609,32.2332725524902,29.2371387481689,28.470100402832,7.91757583618164,7.86134971891131,7.8925313268389,7.82966279983521,7.81879758834839,5.2816129027633e-06,6.5991071096505e-07,2.2665322831017e-06,-1.1360000371933,3.59599995613098,8.32400035858154,8.6,7.95616674423218,8.75500011444092,34.124568939209,631.231506347656,21.8840007781982,-3.7720000743866,25.6560001373291,12.6586666107178,0.551999986171722,15.9779996871948,0.551999986171722,139.2,15.2,6,2.99422664642334,43.8,20.7,43.2,20.7,"Universities Trier and Braunschweig","Bsal Consortium Germany","https://n2t.net/ark:/21547/Dgt2BsalGer4857_5040_5043","Bsal Consortium Germany"
"Germany",51.358604,6.990914,338,"1",2018-06-15,"Salamandra","Salamandra salamandra",3,"native",2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,1,2,2,14.294885253906,18.838037109375,19.973840332031,16.820977783203,22.5975280761719,20.7517508370535,19.608056640625,19.602288818359,27.7424201965332,26.5534591674805,25.4509410858154,6.80001715251378,6.74749306270054,6.79452909742083,6.73088598251343,6.73724746704102,2.20245838136179e-06,2.43971771851648e-06,1.5712083040853e-06,9.70399951934814,14.3520002365112,19.003999710083,15.2,7.95616674423218,8.75500011444092,34.124568939209,631.231506347656,21.8840007781982,-3.7720000743866,25.6560001373291,12.6586666107178,0.551999986171722,15.9779996871948,0.551999986171722,139.2,15.2,6,2.99422664642334,43.8,20.7,43.2,20.7,"Universities Trier and Braunschweig","Bsal Consortium Germany","https://n2t.net/ark:/21547/Dgt2BsalGer4482_6558_6559","Bsal Consortium Germany"
"Germany",51.382679,6.972078,339,"1",2018-08-31,"Salamandra","Salamandra salamandra",3,"native",1,6,0,7,0,1,6,0,7,0,0,0,0,0,0,1,20,20,24.175714111328,22.101739501953,22.101739501953,11.0010997953869,8.8261817568825,8.96847795758936,17.036584472656,15.10927734375,21.0407657623291,22.3900318145752,22.3900318145752,6.60414594695682,6.63011284101577,6.60492979912531,6.07269191741943,6.00940084457397,4.95161293656565e-07,1.88056455954211e-06,5.03690411627759,11.9519996643066,16.5879993438721,21.2239990234375,14.7,7.95616674423218,8.75500011444092,34.124568939209,631.231506347656,21.8840007781982,-3.7720000743866,25.6560001373291,12.6586666107178,0.551999986171722,15.9779996871948,0.551999986171722,139.2,15.2,6,2.99422664642334,43.8,20.7,43.2,20.7,"Universities Trier and Braunschweig","Bsal Consortium Germany","https://n2t.net/ark:/21547/Dgt2BsalGer4357_4549_4550","Bsal Consortium Germany"
"Germany",51.382679,6.972078,339,"1",2019-01-09,"Salamandra","Salamandra salamandra",3,"native",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,6.279138183594,4.18029174804701,1.87633666992201,11.0010997953869,8.8261817568825,8.96847795758936,5.711907958984,2.39370117187502,24.6920833587646,28.3157176971436,29.508321762085,6.60414594695682,6.63011284101577,6.60492979912531,6.47766256332397,6.47122049331665,1.22012497740798e-06,4.09145177400205e-06,3.86782267014496e-06,-3.7720000743866,0.148000001907349,4.04400014877319,7.6,7.95616674423218,8.75500011444092,34.124568939209,631.231506347656,21.8840007781982,-3.7720000743866,25.6560001373291,12.6586666107178,0.551999986171722,15.9779996871948,0.551999986171722,139.2,15.2,6,2.99422664642334,43.8,20.7,43.2,20.7,"Universities Trier and Braunschweig","Bsal Consortium Germany","https://n2t.net/ark:/21547/Dgt2BsalGer4359_1A_1B","Bsal Consortium Germany"
"Germany",51.382679,6.972078,339,"1",2019-01-14,"Salamandra","Salamandra salamandra",3,"native",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,6.279138183594,4.18029174804701,1.87633666992201,11.0010997953869,8.8261817568825,8.96847795758936,0.613366699219,3.32305297851605,24.6920833587646,28.3157176971436,29.508321762085,6.60414594695682,6.63011284101577,6.60492979912531,6.46571922302246,6.6019606590271,1.22012497740798e-06,4.09145177400205e-06,3.86782267014496e-06,-3.7720000743866,0.148000001907349,4.04400014877319,7.6,7.95616674423218,8.75500011444092,34.124568939209,631.231506347656,21.8840007781982,-3.7720000743866,25.6560001373291,12.6586666107178,0.551999986171722,15.9779996871948,0.551999986171722,139.2,15.2,6,2.99422664642334,43.8,20.7,43.2,20.7,"Universities Trier and Braunschweig","Bsal Consortium Germany","https://n2t.net/ark:/21547/Dgt2BsalGer4360_2A_2B","Bsal Consortium Germany"
"Germany",51.382679,6.972078,339,"1",2019-03-20,"Salamandra","Salamandra salamandra",3,"native",1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1.87633666992201,4.93279418945303,8.072259521484,11.0010997953869,8.8261817568825,8.96847795758936,8.60097656250002,6.664392089844,29.508321762085,29.2902450561523,29.0044708251953,6.60414594695682,6.63011284101577,6.60492979912531,7.037841796875,6.91587066650391,3.86782267014496e-06,2.50486609729705e-06,4.19717725890223e-06,-1.1360000371933,3.59599995613098,8.32400035858154,8.6,7.95616674423218,8.75500011444092,34.124568939209,631.231506347656,21.8840007781982,-3.7720000743866,25.6560001373291,12.6586666107178,0.551999986171722,15.9779996871948,0.551999986171722,139.2,15.2,6,2.99422664642334,43.8,20.7,43.2,20.7,"Universities Trier and Braunschweig","Bsal Consortium Germany","https://n2t.net/ark:/21547/Dgt2BsalGer4361_3709_3710","Bsal Consortium Germany"
"Germany",51.392093,7.11252,343,"1",2017-08-15,"Salamandra","Salamandra salamandra",3,"native",2,7,0,9,0,2,7,0,9,0,0,0,0,0,0,1,35,35,18.32265625,19.115441894531,18.865441894531,10.2572592599052,8.71750139508931,7.69990365164624,15.383905029297,20.988366699219,27.751350402832,29.8876686096191,29.8243141174316,7.42346933909825,7.43050221034459,7.3555645942688,6.9686017036438,6.84550476074219,2.51787496381439e-06,5.35088693141006e-06,3.06588699459098e-06,11.9519996643066,16.5879993438721,21.2239990234375,14.7,7.95616674423218,8.75500011444092,34.124568939209,631.231506347656,21.8840007781982,-3.7720000743866,25.6560001373291,12.6586666107178,0.551999986171722,15.9779996871948,0.551999986171722,139.2,15.2,6,2.99422664642334,43.8,20.7,43.2,20.7,"Universities Trier and Braunschweig","Bsal Consortium Germany","https://n2t.net/ark:/21547/Dgt2BsalGer3465_2962","Bsal Consortium Germany"
"Germany",51.401582,7.126877,345,"1",2019-04-11,"Salamandra","Salamandra salamandra",3,"native",2,1,2,1,0,2,1,2,1,0,0,0,0,0,0,1,3,3,4.41460571289105,7.35445556640605,11.586175537109,6.08789324079245,7.68023507254445,9.25796334402901,12.779962158203,5.54314575195303,31.6440887451172,31.346960067749,29.0826282501221,7.37097113473075,7.28794656481062,7.23703908920288,7.24644804000854,7.21780014038086,2.16004464164143e-06,4.66846759081818e-06,1.53191667777719e-06,1.67999994754791,6.45599985122681,11.2200002670288,12.2,7.95616674423218,8.75500011444092,34.124568939209,631.231506347656,21.8840007781982,-3.7720000743866,25.6560001373291,12.6586666107178,0.551999986171722,15.9779996871948,0.551999986171722,139.2,15.2,6,2.99422664642334,43.8,20.7,43.2,20.7,"Universities Trier and Braunschweig","Bsal Consortium Germany","https://n2t.net/ark:/21547/Dgt2BsalGer4478_3721_3722","Bsal Consortium Germany"
"Germany",51.403281,6.995988,346,"1",2019-10-04,"Rana","Rana temporaria",1,"native",0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,2,1,10,NA,NA,NA,9.25638305664069,9.10185564313621,9.40139282226566,13.995294189453,10.536218261719,NA,NA,NA,6.68411869866507,6.70748007093157,6.72144400460379,6.48304414749146,6.63965797424316,NA,NA,NA,4.43599987030029,8.41600036621094,12.4040002822876,14.2,7.95616674423218,8.75500011444092,34.124568939209,631.231506347656,21.8840007781982,-3.7720000743866,25.6560001373291,12.6586666107178,0.551999986171722,15.9779996871948,0.551999986171722,139.2,15.2,6,2.99422664642334,43.8,20.7,43.2,20.7,"Universities Trier and Braunschweig","Bsal Consortium Germany","https://n2t.net/ark:/21547/Dgt2BsalGer4314_10681_10682","Bsal Consortium Germany"
"Germany",51.403281,6.995988,346,"1",2019-01-03,"Salamandra","Salamandra salamandra",3,"native",1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,6.279138183594,4.18029174804701,1.87633666992201,9.25638305664069,9.10185564313621,9.40139282226566,-0.861273193358954,1.85769042968803,24.6920833587646,28.3157176971436,29.508321762085,6.68411869866507,6.70748007093157,6.72144400460379,6.36160564422607,6.39477777481079,1.22012497740798e-06,4.09145177400205e-06,3.86782267014496e-06,-3.7720000743866,0.148000001907349,4.04400014877319,7.6,7.95616674423218,8.75500011444092,34.124568939209,631.231506347656,21.8840007781982,-3.7720000743866,25.6560001373291,12.6586666107178,0.551999986171722,15.9779996871948,0.551999986171722,139.2,15.2,6,2.99422664642334,43.8,20.7,43.2,20.7,"Universities Trier and Braunschweig","Bsal Consortium Germany","https://n2t.net/ark:/21547/Dgt2BsalGer3999_3A_3B","Bsal Consortium Germany"
