Count,Genus,Species,Location,Lat,Lon,Day,Month,Year,Date,Code,Bsal,Bd,RV,Fate,Notes
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0089,1010,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0090,0,59,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0096,0,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0097,4100,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0070,27200,9740,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0071,19980,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0073,0,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0076,918,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0080,2560,24000,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0081,35400,157,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0083,638,79,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0084,610,612,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0086,964,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0087,238,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0093,0,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0094,1312,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0095,1738,8000,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0099,968,604,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0100,7740,402,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0101,2080,170,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0102,60,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0104,1828,2920,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0105,103,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0106,3080,3860,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0136,3700,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0016,0,1132,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0020,5540,2560,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0024,1314,2740,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0025,348,6420,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0027,1286,197,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0030,1642,1426,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0031,0,384,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0035,0,1314,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0038,1258,2120,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0041,0,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0046,254,480,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0052,0,246,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0074,2580,2760,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0077,1460,12380,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0091,992,12300,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0092,408,1570,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0033,522,334,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0048,0,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0050,510000,14320,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0056,0,458,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0057,246,1302,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0072,416,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0079,874,200,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0082,0,1102,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0098,53,0,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0103,0,1682,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0021,2700,2380,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0034,1322,20200,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0039,0,1244,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0047,0,258,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0063,0,730,0,Removed,
1,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,DF0075,1832,51400,0,Removed,
98,Triturus,marmoratus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,"98 uncoded specimens - animals in decomposition, not tested",NA,NA,NA,Dead,
1,Triturus ,anatolicus,Inner perimeter,41.665035,2.530639,10,5,2018,5/10/2018,CRARC_03,NA,NA,NA,Removed,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0200,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0201,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0202,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0203,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0204,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0205,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0206,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0207,0,0,0,Returned,
