"L1","Lon","Lat","GID_2","GID_0","COUNTRY","GID_1","NAME_1","NL_NAME_1","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
26,4.276578,50.703969,"BEL.2.4_1","BEL","Belgium","BEL.2_1","Vlaanderen",NA,"Vlaams Brabant","Brabant Flamand|Brabante Flamenc",NA,"Provincie","Province",NA,"BE.VB"
27,4.276578,50.703969,"BEL.2.4_1","BEL","Belgium","BEL.2_1","Vlaanderen",NA,"Vlaams Brabant","Brabant Flamand|Brabante Flamenc",NA,"Provincie","Province",NA,"BE.VB"
28,4.839672,50.936207,"BEL.2.4_1","BEL","Belgium","BEL.2_1","Vlaanderen",NA,"Vlaams Brabant","Brabant Flamand|Brabante Flamenc",NA,"Provincie","Province",NA,"BE.VB"
29,4.839672,50.936207,"BEL.2.4_1","BEL","Belgium","BEL.2_1","Vlaanderen",NA,"Vlaams Brabant","Brabant Flamand|Brabante Flamenc",NA,"Provincie","Province",NA,"BE.VB"
30,4.839672,50.936207,"BEL.2.4_1","BEL","Belgium","BEL.2_1","Vlaanderen",NA,"Vlaams Brabant","Brabant Flamand|Brabante Flamenc",NA,"Provincie","Province",NA,"BE.VB"
31,4.53146,50.59676,"BEL.3.1_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Brabant Wallon","Waals Brabant|Walloon Brabant",NA,"Province","Provincie",NA,"BE.BW"
32,4.59534,50.67638,"BEL.3.1_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Brabant Wallon","Waals Brabant|Walloon Brabant",NA,"Province","Provincie",NA,"BE.BW"
33,3.954857,50.64458,"BEL.3.2_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Hainaut","Henegouwen|Hennegau",NA,"Province","Provincie",NA,"BE.HT"
34,5.719057,50.549875,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
35,5.690341,50.700243,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
36,5.690341,50.700243,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
37,5.794612,50.415491,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
38,5.52347,50.50957,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
39,6.089526,50.624164,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
40,5.33748,50.514141,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
41,5.330764,50.565628,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
42,5.195327,50.492792,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
43,5.195327,50.492792,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
