L1,Lon,Lat,GID_0,COUNTRY,NAME_1,NAME_2
"8",3915466.597266355529428,3114840.519010146614164,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"9",3915466.597266355529428,3114840.519010146614164,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"10",3915466.597266355529428,3114840.519010146614164,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"11",3877771.832907673902810,3096395.704008323140442,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"12",3877771.832907673902810,3096395.704008323140442,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"13",3877771.832907673902810,3096395.704008323140442,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"23",3881595.920866944827139,3092840.880010417196900,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"24",3881595.920866944827139,3092840.880010417196900,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"25",3881595.920866944827139,3092840.880010417196900,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"30",3881004.617171709891409,3111718.358006183523685,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"31",3881004.617171709891409,3111718.358006183523685,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"32",3881004.617171709891409,3111718.358006183523685,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"40",3862769.262029852252454,3092530.094790937844664,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"41",3862769.262029852252454,3092530.094790937844664,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"42",3862769.262029852252454,3092530.094790937844664,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"48",3880688.944454184267670,3112943.698159805033356,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"49",3880688.944454184267670,3112943.698159805033356,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"50",3880688.944454184267670,3112943.698159805033356,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"58",3893611.205394050106406,3114085.076083677820861,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"59",3893611.205394050106406,3114085.076083677820861,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"60",3893611.205394050106406,3114085.076083677820861,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"61",3893810.009870596695691,3090812.774864373728633,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"62",3893810.009870596695691,3090812.774864373728633,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"63",3893810.009870596695691,3090812.774864373728633,BEL,Belgium,Vlaanderen,Oost-Vlaanderen
"26",3917136.662818869110197,3081608.873096330091357,BEL,Belgium,Vlaanderen,Vlaams Brabant
"27",3917136.662818869110197,3081608.873096330091357,BEL,Belgium,Vlaanderen,Vlaams Brabant
"28",3917136.662818869110197,3081608.873096330091357,BEL,Belgium,Vlaanderen,Vlaams Brabant
"37",3958599.061485669109970,3104435.085472879931331,BEL,Belgium,Vlaanderen,Vlaams Brabant
"38",3958599.061485669109970,3104435.085472879931331,BEL,Belgium,Vlaanderen,Vlaams Brabant
"39",3958599.061485669109970,3104435.085472879931331,BEL,Belgium,Vlaanderen,Vlaams Brabant
"20",3934199.287616237066686,3068335.703205700498074,BEL,Belgium,Wallonie,Brabant Wallon
"57",3939356.286346359644085,3076836.758156456518918,BEL,Belgium,Wallonie,Brabant Wallon
"56",3893952.041370092891157,3076846.546487838495523,BEL,Belgium,Wallonie,Hainaut
"1",4017772.532816528342664,3057534.301672027911991,BEL,Belgium,Wallonie,LiÃ¨ge
"4",4016717.402320165187120,3074355.833968001883477,BEL,Belgium,Wallonie,LiÃ¨ge
"5",4016717.402320165187120,3074355.833968001883477,BEL,Belgium,Wallonie,LiÃ¨ge
"7",4022267.371260340791196,3042296.908392353914678,BEL,Belgium,Wallonie,LiÃ¨ge
"15",4003666.674394026864320,3053886.257480765692890,BEL,Belgium,Wallonie,LiÃ¨ge
"16",4044420.924950403161347,3064320.536172345746309,BEL,Belgium,Wallonie,LiÃ¨ge
"17",3990534.349487611092627,3055216.342192902229726,BEL,Belgium,Wallonie,LiÃ¨ge
"22",3990420.867837287019938,3060964.080190822947770,BEL,Belgium,Wallonie,LiÃ¨ge
"34",3980321.074261436704546,3053497.015863659791648,BEL,Belgium,Wallonie,LiÃ¨ge
"35",3980321.074261436704546,3053497.015863659791648,BEL,Belgium,Wallonie,LiÃ¨ge
"43",4008503.635205065831542,3061967.870652463287115,BEL,Belgium,Wallonie,LiÃ¨ge
"44",4014105.363020184449852,3069028.149114477913827,BEL,Belgium,Wallonie,LiÃ¨ge
"51",4019060.235145458020270,3048433.350253569427878,BEL,Belgium,Wallonie,LiÃ¨ge
"52",4019060.235145458020270,3048433.350253569427878,BEL,Belgium,Wallonie,LiÃ¨ge
"53",4019060.235145458020270,3048433.350253569427878,BEL,Belgium,Wallonie,LiÃ¨ge
"54",4019060.235145458020270,3048433.350253569427878,BEL,Belgium,Wallonie,LiÃ¨ge
"55",4021516.337836018763483,3060959.343621090985835,BEL,Belgium,Wallonie,LiÃ¨ge
"64",4044364.980487214401364,3045091.608604792505503,BEL,Belgium,Wallonie,LiÃ¨ge
"66",4005615.215028158389032,3063280.210922624915838,BEL,Belgium,Wallonie,LiÃ¨ge
"67",4025142.508151815272868,3054688.472629043739289,BEL,Belgium,Wallonie,LiÃ¨ge
"68",4022236.608217322733253,3056331.564329389482737,BEL,Belgium,Wallonie,LiÃ¨ge
"69",3984543.199622997548431,3061509.145740964915603,BEL,Belgium,Wallonie,LiÃ¨ge
"47",4013849.254660061094910,2977049.038000115659088,BEL,Belgium,Wallonie,Luxembourg
"2",3921144.669944373890758,3012458.269351994618773,BEL,Belgium,Wallonie,Namur
"3",3960460.531218714546412,3045251.215993270743638,BEL,Belgium,Wallonie,Namur
"6",3950249.004925742279738,3045684.504631431773305,BEL,Belgium,Wallonie,Namur
"14",3956639.135225019417703,3024342.930585027672350,BEL,Belgium,Wallonie,Namur
"18",3961284.711485898587853,3023888.938644955866039,BEL,Belgium,Wallonie,Namur
"19",3961284.711485898587853,3023888.938644955866039,BEL,Belgium,Wallonie,Namur
"21",3967382.915360429789871,3045480.897844621445984,BEL,Belgium,Wallonie,Namur
"29",3953578.071083794813603,3022904.646960102021694,BEL,Belgium,Wallonie,Namur
"33",3962678.819298828020692,3037127.742544935084879,BEL,Belgium,Wallonie,Namur
"36",3982589.046425838954747,3015710.979529449716210,BEL,Belgium,Wallonie,Namur
"45",3963321.962382973637432,3054587.169900150969625,BEL,Belgium,Wallonie,Namur
"46",3963321.962382973637432,3054587.169900150969625,BEL,Belgium,Wallonie,Namur
"65",3979942.967300690244883,3018356.185767919290811,BEL,Belgium,Wallonie,Namur
"609",4270080.705212260596454,2911496.620467017870396,DEU,Germany,Baden-WÃ¼rttemberg,Heilbronn
"610",4270080.705212260596454,2911496.620467017870396,DEU,Germany,Baden-WÃ¼rttemberg,Heilbronn
"611",4270080.705212260596454,2911496.620467017870396,DEU,Germany,Baden-WÃ¼rttemberg,Heilbronn
"612",4270080.705212260596454,2911496.620467017870396,DEU,Germany,Baden-WÃ¼rttemberg,Heilbronn
"1195",4356102.919765889644623,2972571.430527326650918,DEU,Germany,Bayern,Bamberg
"1529",4356102.919765889644623,2972571.430527326650918,DEU,Germany,Bayern,Bamberg
"1530",4356102.919765889644623,2972571.430527326650918,DEU,Germany,Bayern,Bamberg
"1531",4356102.919765889644623,2972571.430527326650918,DEU,Germany,Bayern,Bamberg
"2363",4356102.919765889644623,2972571.430527326650918,DEU,Germany,Bayern,Bamberg
"2364",4356102.919765889644623,2972571.430527326650918,DEU,Germany,Bayern,Bamberg
