L1,Lon,Lat,GID_0,COUNTRY,NAME_1,NAME_2
"33",4.962908000000000,50.335363999999998,BEL,Belgium,Wallonie,Namur
"36",5.261291000000000,50.155226999999996,BEL,Belgium,Wallonie,Namur
"45",4.955210000000000,50.492300999999998,BEL,Belgium,Wallonie,Namur
"46",4.955210000000000,50.492300999999998,BEL,Belgium,Wallonie,Namur
"65",5.221950000000000,50.177410000000002,BEL,Belgium,Wallonie,Namur
"609",9.299841000000001,49.314267000000001,DEU,Germany,Baden-WÃƒÆ’Ã‚Â¼rttemberg,Heilbronn
"610",9.299841000000001,49.314267000000001,DEU,Germany,Baden-WÃƒÆ’Ã‚Â¼rttemberg,Heilbronn
"611",9.299841000000001,49.314267000000001,DEU,Germany,Baden-WÃƒÆ’Ã‚Â¼rttemberg,Heilbronn
"612",9.299841000000001,49.314267000000001,DEU,Germany,Baden-WÃƒÆ’Ã‚Â¼rttemberg,Heilbronn
"1195",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"1529",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"1530",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"1531",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"2363",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"2364",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"2502",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"3628",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"3629",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"4434",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"4446",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"5053",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"5054",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"5559",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"5956",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"6060",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"6061",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"6062",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"6063",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"6064",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"6065",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"6066",10.488179000000001,49.864623000000002,DEU,Germany,Bayern,Bamberg
"1020",8.678889000000000,49.869166999999997,DEU,Germany,Hessen,Darmstadt
"5176",9.626154000000000,51.398074999999999,DEU,Germany,Niedersachsen,GÃƒÆ’Ã‚Â¶ttingen
"5177",9.626154000000000,51.398074999999999,DEU,Germany,Niedersachsen,GÃƒÆ’Ã‚Â¶ttingen
"2911",9.490000000000000,51.799999999999997,DEU,Germany,Niedersachsen,Holzminden
"2912",9.490000000000000,51.799999999999997,DEU,Germany,Niedersachsen,Holzminden
"2913",9.490000000000000,51.799999999999997,DEU,Germany,Niedersachsen,Holzminden
"2914",9.490000000000000,51.799999999999997,DEU,Germany,Niedersachsen,Holzminden
"2915",9.490000000000000,51.799999999999997,DEU,Germany,Niedersachsen,Holzminden
"2916",9.490000000000000,51.799999999999997,DEU,Germany,Niedersachsen,Holzminden
"2233",8.460353000000000,52.024067000000002,DEU,Germany,Nordrhein-Westfalen,Bielefeld
"2234",8.460353000000000,52.024067000000002,DEU,Germany,Nordrhein-Westfalen,Bielefeld
"2235",8.460353000000000,52.024067000000002,DEU,Germany,Nordrhein-Westfalen,Bielefeld
