"Lat","Lon","timepoint","year","month","day"
51.437,7.257333,"t60",2019,1,2
49.849103,6.326625,"t30",2017,2,27
49.849103,6.326625,"t60",2017,1,28
50.23944,6.396523,"t30",2017,4,24
50.23944,6.396523,"t60",2017,3,25
50.574681,6.401072,"t30",2017,4,4
50.574681,6.401072,"t60",2017,3,5
50.756932,6.321338,"t30",2018,2,8
50.756932,6.321338,"t60",2018,1,9
51.431025,6.968945,"t30",2019,4,21
51.431025,6.968945,"t60",2019,3,22
50.278656,6.292373,"t30",2017,4,15
50.278656,6.292373,"t60",2017,3,16
50.726667,6.323306,"t30",2019,3,10
50.726667,6.323306,"t60",2019,2,8
50.113526,6.280058,"t30",2016,3,2
50.113526,6.280058,"t60",2016,2,1
51.401582,7.126877,"t30",2019,3,12
51.401582,7.126877,"t60",2019,2,10
50.735089,6.359651,"t30",2017,1,27
50.735089,6.359651,"t60",2016,12,28
50.509209,6.295323,"t30",2019,5,6
50.509209,6.295323,"t60",2019,4,6
50.717116,6.345695,"t30",2019,4,11
50.717116,6.345695,"t60",2019,3,12
50.756932,6.321338,"t30",2018,2,5
50.756932,6.321338,"t60",2018,1,6
51.41865,6.930562,"t30",2019,3,26
51.41865,6.930562,"t60",2019,2,24
49.864623,10.488179,"t30",2020,4,8
49.864623,10.488179,"t60",2020,3,9
49.890914,6.590448,"t30",2019,2,24
49.890914,6.590448,"t60",2019,1,25
50.266288,6.359244,"t30",2019,4,16
50.266288,6.359244,"t60",2019,3,17
50.747073,6.366391,"t30",2019,3,3
50.747073,6.366391,"t60",2019,2,1
50.70178,6.270098,"t30",2018,9,22
50.70178,6.270098,"t60",2018,8,23
49.919317,6.405269,"t30",2019,3,25
49.919317,6.405269,"t60",2019,2,23
49.828069,6.403899,"t30",2015,4,4
49.828069,6.403899,"t60",2015,3,5
50.789973,6.375219,"t30",2019,3,10
50.789973,6.375219,"t60",2019,2,8
50.735368,6.294149,"t30",2015,4,3
50.735368,6.294149,"t60",2015,3,4
50.747069,6.366387,"t30",2017,3,6
50.747069,6.366387,"t60",2017,2,4
49.976417,6.474156,"t30",2017,3,11
49.976417,6.474156,"t60",2017,2,9
50.676448,6.198452,"t30",2018,2,5
50.676448,6.198452,"t60",2018,1,6
50.735368,6.294149,"t30",2015,2,23
50.735368,6.294149,"t60",2015,1,24
51.448228,7.279486,"t30",2019,4,19
51.448228,7.279486,"t60",2019,3,20
50.735368,6.294149,"t30",2019,1,29
50.735368,6.294149,"t60",2018,12,30
50.717116,6.345695,"t30",2019,4,3
50.717116,6.345695,"t60",2019,3,4
50.619605,6.494605,"t30",2018,2,8
50.619605,6.494605,"t60",2018,1,9
51.403281,6.995988,"t30",2019,1,29
51.403281,6.995988,"t60",2018,12,30
50.737227,6.413199,"t30",2019,2,14
50.737227,6.413199,"t60",2019,1,15
50.613929,6.431371,"t30",2018,2,13
50.613929,6.431371,"t60",2018,1,14
50.70178,6.270098,"t30",2016,4,10
50.70178,6.270098,"t60",2016,3,11
50.045353,6.53039,"t30",2017,3,20
50.045353,6.53039,"t60",2017,2,18
50.624294,6.502346,"t30",2018,2,26
50.624294,6.502346,"t60",2018,1,27
51.41865,6.930562,"t30",2019,2,21
51.41865,6.930562,"t60",2019,1,22
50.613929,6.431371,"t30",2015,3,27
50.613929,6.431371,"t60",2015,2,25
50.684688,6.412117,"t30",2019,2,4
50.684688,6.412117,"t60",2019,1,5
51.423306,7.033296,"t30",2019,3,3
51.423306,7.033296,"t60",2019,2,1
50.735368,6.294149,"t30",2016,3,13
50.735368,6.294149,"t60",2016,2,12
50.555043,6.426633,"t30",2018,3,26
50.555043,6.426633,"t60",2018,2,24
50.578169,6.278448,"t30",2017,6,27
50.578169,6.278448,"t60",2017,5,28
50.692652,6.47664,"t30",2018,3,21
50.692652,6.47664,"t60",2018,2,19
49.856419,6.448153,"t30",2016,2,27
49.856419,6.448153,"t60",2016,1,28
51.41865,6.930562,"t30",2018,4,14
51.41865,6.930562,"t60",2018,3,15
51.437,7.257333,"t30",2018,4,23
51.437,7.257333,"t60",2018,3,24
50.735089,6.359651,"t30",2019,2,13
50.735089,6.359651,"t60",2019,1,14
50.578169,6.278448,"t30",2015,11,2
50.578169,6.278448,"t60",2015,10,3
50.735368,6.294149,"t30",2015,11,8
50.735368,6.294149,"t60",2015,10,9
50.421674,6.493919,"t30",2018,6,24
50.421674,6.493919,"t60",2018,5,25
50.756932,6.321338,"t30",2018,2,25
50.756932,6.321338,"t60",2018,1,26
50.684688,6.412117,"t30",2018,9,22
50.684688,6.412117,"t60",2018,8,23
51.511293,7.235178,"t30",2019,7,18
51.511293,7.235178,"t60",2019,6,18
49.880094,6.426085,"t30",2017,2,27
49.880094,6.426085,"t60",2017,1,28
50.55541,6.43618,"t30",2018,3,18
50.55541,6.43618,"t60",2018,2,16
50.613929,6.431371,"t30",2019,3,3
50.613929,6.431371,"t60",2019,2,1
49.864623,10.488179,"t30",2020,6,1
49.864623,10.488179,"t60",2020,5,2
50.747069,6.366387,"t30",2017,3,19
50.747069,6.366387,"t60",2017,2,17
51.81343,6.373628,"t30",2019,4,27
51.81343,6.373628,"t60",2019,3,28
51.511293,7.235178,"t30",2019,4,28
51.511293,7.235178,"t60",2019,3,29
50.624289,6.502341,"t30",2019,3,17
50.624289,6.502341,"t60",2019,2,15
51.431025,6.968945,"t30",2019,3,26
51.431025,6.968945,"t60",2019,2,24
50.737227,6.413199,"t30",2018,2,25
50.737227,6.413199,"t60",2018,1,26
51.437,7.257333,"t30",2018,3,4
51.437,7.257333,"t60",2018,2,2
50.672648,6.230209,"t30",2019,2,7
50.672648,6.230209,"t60",2019,1,8
51.431025,6.968945,"t30",2019,2,23
51.431025,6.968945,"t60",2019,1,24
51.431025,6.968945,"t30",2017,12,6
51.431025,6.968945,"t60",2017,11,6
50.578169,6.278448,"t30",2015,10,29
50.578169,6.278448,"t60",2015,9,29
51.541882,6.833255,"t30",2019,3,11
